contractor_name_type,document_display_id,document_id,document_type,document_version,effective_date,note,retirement_date,title,updated_on,updated_on_sort,url
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L37618,37618,LCD,16,02/14/2025,Retired,09/11/2025,Lab: Cystatin C Measurement,09/11/2025,20250911010006,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37618&ver=16
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L37738,37738,LCD,23,07/30/2023,Retired,09/11/2025,Magnetic-Resonance-Guided Focused Ultrasound Surgery (MRgFUS) for Essential Tremor and Tremor Dominant Parkinson's Disease,09/11/2025,20250911010006,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37738&ver=23
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L34040,34040,LCD,34,07/20/2025,Retired,09/11/2025,Polysomnography and Other Sleep Studies,09/11/2025,20250911010006,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34040&ver=34
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L38904,38904,LCD,11,11/28/2021,Retired,09/11/2025,Wound and Ulcer Care,09/11/2025,20250911010006,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38904&ver=11
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L36353,36353,LCD,38,11/02/2025,,N/A,Lab: Special Histochemical Stains and Immunohistochemical Stains,09/09/2025,20250909124546,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=36353&ver=38
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L36351,36351,LCD,42,11/02/2025,,N/A,Lab: Special Histochemical Stains and Immunohistochemical Stains,09/09/2025,20250909124328,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=36351&ver=42
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L40046,40046,LCD,3,10/26/2025,,N/A,Allergen Immunotherapy (AIT) with Subcutaneous Immunotherapy (SCIT),09/05/2025,20250905101556,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40046&ver=3
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L36408,36408,LCD,34,10/26/2025,,N/A,Allergen Immunotherapy (AIT) with Subcutaneous Immunotherapy (SCIT),09/03/2025,20250903154822,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=36408&ver=34
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L40056,40056,LCD,3,10/26/2025,,N/A,Allergen Immunotherapy (AIT) with Subcutaneous Immunotherapy (SCIT),09/03/2025,20250903065740,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40056&ver=3
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L39058,39058,LCD,17,09/11/2025,,N/A,Platelet Rich Plasma Injections for Non-Wound Injections,09/02/2025,20250902095533,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39058&ver=17
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L36861,36861,LCD,25,09/11/2025,,N/A,Polysomnography and Other Sleep Studies,09/02/2025,20250902095533,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=36861&ver=25
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L38902,38902,LCD,12,09/11/2025,,N/A,Wound and Ulcer Care,09/02/2025,20250902095533,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38902&ver=12
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L38824,38824,LCD,10,09/11/2025,,N/A,Colon Capsule Endoscopy (CCE),09/02/2025,20250902095532,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38824&ver=10
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L38709,38709,LCD,5,09/11/2025,,N/A,Computed Tomography Cerebral Perfusion Analysis (CTP),09/02/2025,20250902095532,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38709&ver=5
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L34218,34218,LCD,26,09/11/2025,,N/A,"Injections - Tendon, Ligament, Ganglion Cyst, Tunnel Syndromes and Morton's Neuroma",09/02/2025,20250902095532,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34218&ver=26
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L39960,39960,LCD,4,09/11/2025,,N/A,Intervertebral Disc Repair,09/02/2025,20250902095532,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39960&ver=4
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L37616,37616,LCD,16,09/11/2025,,N/A,Lab: Cystatin C Measurement,09/02/2025,20250902095532,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37616&ver=16
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L37729,37729,LCD,25,09/11/2025,,N/A,Magnetic-Resonance-Guided Focused Ultrasound Surgery (MRgFUS) for Essential Tremor and Tremor Dominant Parkinson's Disease,09/02/2025,20250902095532,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37729&ver=25
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L34203,34203,LCD,26,09/11/2025,,N/A,Cataract Surgery in Adults,09/02/2025,20250902095531,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34203&ver=26
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L39758,39758,LCD,14,09/11/2025,,N/A,Cervical Fusion,09/02/2025,20250902095531,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39758&ver=14
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L34337,34337,LCD,23,09/04/2025,,N/A,Transesophageal Echocardiography (TEE),08/29/2025,20250829131205,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34337&ver=23
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L34087,34087,LCD,20,09/04/2025,,N/A,"Surveillance of Implantable or Wearable Cardioverter Defibrillators (ICDs): Office, Hospital, Web, or Non-Web Based",08/29/2025,20250829125701,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34087&ver=20
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L34084,34084,LCD,23,09/04/2025,,N/A,Transcatheter Infusion Therapy,08/29/2025,20250829125226,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34084&ver=23
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L34540,34540,LCD,15,09/04/2025,,N/A,Stretta Procedure,08/29/2025,20250829123537,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34540&ver=15
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L38771,38771,LCD,18,09/04/2025,,N/A,Non-Invasive Fractional Flow Reserve (FFR) for Ischemic Heart Disease,08/29/2025,20250829122129,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38771&ver=18
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L34624,34624,LCD,42,08/28/2025,,N/A,Somatosensory Testing,08/20/2025,20250820153721,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34624&ver=42
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L34536,34536,LCD,36,08/28/2025,,N/A,Treatment of Varicose Veins of the Lower Extremities,08/20/2025,20250820152321,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34536&ver=36
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L34636,34636,LCD,38,08/28/2025,,N/A,Electrocardiographic (EKG or ECG) Monitoring (Holter or Real-Time Monitoring),08/20/2025,20250820150713,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34636&ver=38
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L34658,34658,LCD,36,08/28/2025,,N/A,Vitamin D Assay Testing,08/20/2025,20250820134224,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34658&ver=36
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L37015,37015,LCD,27,08/28/2025,,N/A,Visual Electrophysiology Testing,08/20/2025,20250820132022,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37015&ver=27
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L34645,34645,LCD,51,08/28/2025,,N/A,Urine Drug Testing,08/20/2025,20250820124317,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34645&ver=51
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L36815,36815,LCD,26,07/06/2023,Retired,08/16/2025,MolDX: Genetic Testing for BCR-ABL Negative Myeloproliferative Disease,08/18/2025,20250818150020,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=36815&ver=26
